Type,Start,End,Duration,Total Energy (kJ),Active Energy (kJ),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed(km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Running,2022-05-07 05:19,2022-05-07 06:20,01:00:44,4310,3774,174,154.4,12.3,12.15,9267,2.54,,,7.0,88.1,
Running,2022-05-03 20:11,2022-05-03 20:59,00:48:27,3481,3129,181,157.56,10.14,12.55,7305,2.51,,,13.0,80.28,
Running,2022-04-29 19:07,2022-04-29 20:30,01:23:13,5731,5069,167,152.72,16.72,12.06,12724,2.55,,,11.0,78.78,
Running,2022-04-24 09:00,2022-04-24 10:27,01:27:27,7126,6395,195,174.62,21.21,14.55,13850,2.64,,,2.0,56.36,
Running,2022-04-21 17:40,2022-04-22 07:26,01:06:11,8537,3824,180,134.91,12.39,11.23,10510,2.65,,,19.0,96.46,
Running,2022-04-20 16:07,2022-04-20 16:53,00:42:34,3110,2776,187,157.46,8.01,11.29,6537,2.56,,,54.02326744792936,207.17,
Cycling,2022-04-20 12:29,2022-04-20 15:42,03:13:17,10236,8795,175,127.7,49.93,15.5,6034,0.52,,,,1757,
Running,2022-04-19 09:14,2022-04-19 11:04,01:49:32,4376,3496,169,124.64,4.16,2.28,6157,0.937,,,148.0,628.17,
Walking,2022-04-16 07:07,2022-04-16 09:04,01:57:01,7599,6662,171,144.61,22.01,11.28,17571,2.5,,,11.0,121.87,
Running,2022-04-13 18:09,2022-04-13 19:17,01:05:42,4727,4220,174,160.98,14.18,12.95,10245,2.6,,,5.262283995472554,18.54,
Running,2022-04-12 18:37,2022-04-12 19:08,00:26:35,1852,1632,183,160.58,5.53,12.49,4366,2.74,,,1.0,6.46,
Running,2022-04-03 18:33,2022-04-03 19:14,00:41:18,2911,2599,175,151.55,8.39,12.18,6604,2.66,,,13.0,61.19,
Running,2022-04-02 13:32,2022-04-02 13:51,00:19:06,1462,1232,177,171.68,4.13,12.96,3120,2.72,,,,,
Running,2022-04-02 12:13,2022-04-02 13:32,01:12:54,5464,4902,178,166.12,16.01,13.17,12223,2.79,,,14.0,105.72,
Running,2022-03-25 16:14,2022-03-25 17:25,01:07:28,4674,4147,170,157.18,14.02,12.47,10544,2.6,,,4.0,19.12,
Running,2022-03-22 18:28,2022-03-22 18:30,00:01:33,133.11,118.41,,,0.37,14.24,1700,18.19,,,,,
Running,2022-03-22 17:14,2022-03-22 18:28,01:10:14,5475,4947,186,169.35,16.64,14.21,11725,2.78,,,3.0,19.53,
Running,2022-03-21 18:32,2022-03-21 19:29,00:27:54,2204,1705,177,142.82,5.74,12.35,6234,3.72,,,2.0,2.69,
Running,2022-03-20 17:00,2022-03-20 17:59,00:58:03,4294,3790,185,160.62,12.25,12.66,9287,2.67,,,17.55667832164213,89.03,
Running,2022-03-17 16:18,2022-03-17 17:35,01:13:35,5239,4610,171,159.53,15.51,12.65,11560,2.62,,,4.0,21.95,
Running,2022-03-10 17:40,2022-03-11 14:51,01:03:46,11137,4065,182,127.47,13.55,12.75,10194,2.66,,,4.0,18.97,
Running,2022-03-08 17:03,2022-03-08 18:55,01:50:56,7712,6896,172,160.72,23.02,12.45,17198,2.58,,,5.0,28.53,
Running,2022-03-03 17:18,2022-03-03 18:20,01:00:24,4499,3974,179,169.72,13.35,13.26,9331,2.57,,,4.0,18.99,
Running,2022-03-01 17:07,2022-03-01 18:08,00:58:33,4454,3951,180,166.93,13.22,13.55,9156,2.61,,,3.0,20.85,
Running,2022-02-19 08:37,2022-02-19 10:22,01:43:36,7327,6566,179,161.32,22.09,12.79,16250,2.61,,,9.959731985505634,48.8,
Running,2022-02-16 17:14,2022-02-16 18:16,01:01:16,4435,3889,176,164.32,13.06,12.79,9520,2.59,,,6.0,25.12,
Running,2022-02-11 10:01,2022-02-11 11:55,01:49:09,7705,6581,171,159.12,22.16,12.18,16826,2.57,,,7.062310237540859,30.76,
Running,2022-02-09 16:40,2022-02-09 17:42,00:59:51,4325,3793,172,158.78,12.78,12.81,9226,2.57,,,3.0,15.42,
Running,2022-02-07 17:53,2022-02-09 16:39,00:13:54,8455,598.84,168,116.52,1.79,7.72,1546,1.85,,,3.0,4.66,
Running,2022-02-07 17:43,2022-02-07 17:53,00:09:50,659.65,588.89,162,153.06,1.92,11.69,1291,2.19,,,,,
Running,2022-02-07 16:59,2022-02-07 17:43,00:42:55,3007,2689,167,156.36,9.12,12.74,7492,2.91,,,1.0,8.28,
Running,2022-02-05 13:35,2022-02-05 15:14,01:35:55,6979,6238,176,162.44,21.12,13.21,15142,2.63,,,4.416261295703008,34.53,
Running,2022-02-03 15:55,2022-02-03 17:22,01:22:21,5748,5084,173,155.18,17.2,12.53,12750,2.58,,,3.0,18.92,
Running,2022-01-30 17:06,2022-01-30 18:06,01:00:00,4215,3783,176,149.48,12.25,12.25,9248,2.57,,,15.0,83.79,
Running,2022-01-29 08:04,2022-01-29 08:41,00:37:19,2738,2371,181,163.65,7.67,12.33,6062,2.71,,,11.0,58.38,
Running,2022-01-26 16:59,2022-01-26 17:48,00:48:35,3585,3139,176,152.79,10.12,12.49,7681,2.63,,,16.0,81.71,
Running,2022-01-24 17:17,2022-01-24 18:05,00:48:35,3604,3160,169,148.8,10.18,12.57,7604,2.61,,,14.0,90.5,
Running,2022-01-22 17:02,2022-01-22 17:58,00:56:23,4107,3670,185,154.61,10.43,11.1,8731,2.58,,,86.0,297.13,
Running,2022-01-21 14:46,2022-01-21 16:08,01:21:57,6341,5705,192,165.57,15.01,10.99,12688,2.58,,,146.0,519.61,
Walking,2022-01-19 14:42,2022-01-19 16:21,01:39:10,3562,2836,147,104.78,7.87,4.76,8860,1.49,,,67.0,317.38,
Running,2022-01-18 16:14,2022-01-18 17:11,00:56:11,4105,3612,172,152.42,10.24,10.94,8506,2.52,,,84.0,288.88,
Running,2022-01-13 16:30,2022-01-13 17:30,00:51:32,3601,3167,166,147.22,10.69,12.44,8210,2.65,,,4.11678862422879,22.47,
Running,2022-01-07 16:51,2022-01-07 17:44,00:52:35,3942,3573,188,168.44,9.93,11.33,8411,2.67,,,86.0,298.2,
Running,2022-01-05 16:16,2022-01-05 17:14,00:56:16,4154,3691,189,166.12,10.8,11.52,8985,2.66,,,71.0,250.69,
Running,2022-01-03 17:04,2022-01-03 17:51,00:46:41,3668,3287,191,161.88,8.95,11.51,7258,2.59,,,77.0,284.49,
Running,2021-12-31 12:40,2021-12-31 13:44,01:03:23,4421,3974,175,163.79,12.79,12.1,10050,2.64,,,9.0,100.95,
Running,2021-12-30 16:10,2021-12-30 17:13,01:02:19,4244,3752,175,149.43,12.19,11.74,10087,2.7,,,8.0,88.29,
Running,2021-12-28 12:46,2021-12-28 13:52,00:59:56,4189,3745,171,159.58,12.22,12.23,9732,2.71,,,22.010451502687836,89.21,
Running,2021-12-27 14:04,2021-12-27 14:41,00:35:50,2481,2161,159,143.96,7.02,11.76,5729,2.66,,,7.0,52.43,
Running,2021-12-26 07:47,2021-12-26 08:49,01:01:42,4237,3789,181,148.41,12.34,11.99,9687,2.62,,,17.551327927914848,98.51,
Running,2021-12-25 09:13,2021-12-25 10:16,01:02:20,4209,3715,179,147.1,12.09,11.63,9739,2.6,,,11.13806358509798,92.76,
Running,2021-12-21 16:19,2021-12-23 10:31,00:47:13,10483,2967,176,156.3,9.96,12.66,9231,3.26,,,2.0,15.76,
Running,2021-12-15 18:13,2021-12-15 19:03,00:47:52,3337,3012,168,154.2,10.01,12.54,7421,2.58,,,1.0,14.05,
Running,2021-12-12 12:47,2021-12-15 18:13,00:45:34,10935,3045,169,154.9,10.23,13.47,7359,2.69,,,1.4908338108370105,15.64,
Running,2021-12-11 13:03,2021-12-11 13:49,00:41:42,3016,2696,174,157.91,9,12.95,6366,2.54,,,2.0,10.59,
Running,2021-12-09 16:17,2021-12-09 16:57,00:39:34,2697,2427,172,161.56,8.15,12.36,5971,2.51,,,1.1713686434048314,15.9,
Running,2021-12-07 16:19,2021-12-07 16:57,00:37:49,2639,2436,168,155.29,8.05,12.76,5799,2.56,,,1.4269648814926539,12.11,
