Date/Time,Step Count (count) 
2016-11-23 00:00:00,4810
2016-11-24 00:00:00,4900
2016-11-25 00:00:00,17241
2016-11-26 00:00:00,8984
2016-11-27 00:00:00,5258
2016-11-28 00:00:00,3451
2016-11-29 00:00:00,4878
2016-11-30 00:00:00,1237
2016-12-01 00:00:00,4349
2016-12-02 00:00:00,5722
2016-12-03 00:00:00,3440
2016-12-04 00:00:00,2728
2016-12-05 00:00:00,6293
2016-12-06 00:00:00,8153
2016-12-07 00:00:00,964
2016-12-08 00:00:00,7311
2016-12-09 00:00:00,13430
2016-12-10 00:00:00,7666
2016-12-11 00:00:00,1673
2016-12-12 00:00:00,11492
2016-12-13 00:00:00,10391
2016-12-14 00:00:00,10558
2016-12-15 00:00:00,12929
2016-12-16 00:00:00,6486
2016-12-17 00:00:00,5530
2016-12-18 00:00:00,512
2016-12-19 00:00:00,5011
2016-12-20 00:00:00,5178
2016-12-21 00:00:00,115
2016-12-22 00:00:00,10519
2016-12-23 00:00:00,8979
2016-12-24 00:00:00,8159
2016-12-25 00:00:00,1913
2016-12-26 00:00:00,4031
2016-12-27 00:00:00,1870
2016-12-28 00:00:00,2293
2016-12-29 00:00:00,2985
2016-12-30 00:00:00,3869
2016-12-31 00:00:00,4005
2017-01-01 00:00:00,6884
2017-01-02 00:00:00,3864
2017-01-03 00:00:00,4718
2017-01-04 00:00:00,2117
2017-01-05 00:00:00,2811
2017-01-06 00:00:00,5981
2017-01-07 00:00:00,7646
2017-01-08 00:00:00,3596
2017-01-09 00:00:00,9320
2017-01-10 00:00:00,2440
2017-01-11 00:00:00,2978
2017-01-12 00:00:00,3606
2017-01-13 00:00:00,4394
2017-01-14 00:00:00,9190
2017-01-15 00:00:00,4629
2017-01-16 00:00:00,3221
2017-01-17 00:00:00,2751
2017-01-18 00:00:00,3620
2017-01-19 00:00:00,3867
2017-01-20 00:00:00,5279
2017-01-21 00:00:00,5165
2017-01-22 00:00:00,8314
2017-01-23 00:00:00,6591
2017-01-24 00:00:00,8846
2017-01-25 00:00:00,8715
2017-01-26 00:00:00,1949
2017-01-27 00:00:00,5523
2017-01-28 00:00:00,9628
2017-01-29 00:00:00,9831
2017-01-30 00:00:00,2860
2017-01-31 00:00:00,1113
2017-02-01 00:00:00,9436
2017-02-02 00:00:00,4875
2017-02-03 00:00:00,6686
2017-02-04 00:00:00,9682
2017-02-05 00:00:00,2073
2017-02-06 00:00:00,2919
2017-02-07 00:00:00,3787
2017-02-08 00:00:00,3878
2017-02-09 00:00:00,6162
2017-02-10 00:00:00,5548
2017-02-11 00:00:00,7157
2017-02-12 00:00:00,8666
2017-02-13 00:00:00,2665
2017-02-14 00:00:00,9230
2017-02-15 00:00:00,4815
2017-02-16 00:00:00,5918
2017-02-17 00:00:00,7279
2017-02-18 00:00:00,5449
2017-02-19 00:00:00,6000
2017-02-20 00:00:00,2588
2017-02-21 00:00:00,5125
2017-02-22 00:00:00,3169
2017-02-23 00:00:00,6230
2017-02-24 00:00:00,5303
2017-02-25 00:00:00,4321
2017-02-26 00:00:00,14188
2017-02-27 00:00:00,2905
2017-02-28 00:00:00,3714
2017-03-01 00:00:00,3172
2017-03-02 00:00:00,5210
2017-03-03 00:00:00,2338
2017-03-04 00:00:00,1495
2017-03-05 00:00:00,3659
2017-03-06 00:00:00,1437
2017-03-07 00:00:00,1960
2017-03-08 00:00:00,4455
2017-03-09 00:00:00,3502
2017-03-10 00:00:00,2849
2017-03-11 00:00:00,10233
2017-03-12 00:00:00,7098
2017-03-13 00:00:00,3211
2017-03-14 00:00:00,4062
2017-03-15 00:00:00,3055
2017-03-16 00:00:00,5173
2017-03-17 00:00:00,4462
2017-03-18 00:00:00,7984
2017-03-19 00:00:00,3311
2017-03-20 00:00:00,4982
2017-03-21 00:00:00,3814
2017-03-22 00:00:00,2876
2017-03-23 00:00:00,5369
2017-03-24 00:00:00,8227
2017-03-25 00:00:00,5702
2017-03-26 00:00:00,4500
2017-03-27 00:00:00,4497
2017-03-28 00:00:00,8170
2017-03-29 00:00:00,8404
2017-03-30 00:00:00,2719
2017-03-31 00:00:00,6418
2017-04-01 00:00:00,4758
2017-04-02 00:00:00,12316
2017-04-03 00:00:00,4817
2017-04-04 00:00:00,9609
2017-04-05 00:00:00,9406
2017-04-06 00:00:00,9696
2017-04-07 00:00:00,10459
2017-04-08 00:00:00,8718
2017-04-09 00:00:00,5296
2017-04-10 00:00:00,2310
2017-04-11 00:00:00,6078
